,name,neg,neu,pos,compound
0,clean_article0,0.065,0.838,0.097,0.8486
1,clean_article1,0.043,0.899,0.058,0.1182
2,clean_article10,0.032,0.895,0.073,0.9604
3,clean_article11,0.0,0.933,0.067,0.882
4,clean_article12,0.0,0.816,0.184,0.717
5,clean_article13,0.05,0.844,0.106,0.9975
6,clean_article14,0.05,0.904,0.046,-0.8271
7,clean_article15,0.0,0.816,0.184,0.717
8,clean_article16,0.051,0.88,0.069,0.6055
9,clean_article17,0.026,0.899,0.075,0.9562
10,clean_article18,0.0,0.905,0.095,0.9901
11,clean_article19,0.021,0.836,0.143,0.9997
12,clean_article2,0.047,0.919,0.034,-0.7496
13,clean_article20,0.0,0.968,0.032,0.1779
14,clean_article21,0.049,0.892,0.059,0.2944
15,clean_article22,0.0,0.945,0.055,0.6249
16,clean_article23,0.045,0.882,0.073,0.9968
17,clean_article24,0.04,0.865,0.095,0.9809
18,clean_article25,0.054,0.839,0.108,0.9542
19,clean_article26,0.06,0.855,0.085,0.8316
20,clean_article27,0.129,0.825,0.045,-0.9818
21,clean_article28,0.01,0.8,0.19,0.9981
22,clean_article3,0.079,0.885,0.037,-0.9721
23,clean_article4,0.014,0.907,0.079,0.8859
24,clean_article5,0.0,0.816,0.184,0.717
25,clean_article6,0.086,0.871,0.042,-0.9341
26,clean_article7,0.047,0.881,0.072,0.9646
27,clean_article8,0.015,0.89,0.095,0.9973
28,clean_article9,0.036,0.879,0.085,0.9868
