,date,num_of_articles,neg_average,neu_average,pos_average,compound_average
0,2021-01-01,7,0.05,0.84,0.11,0.52
1,2021-01-02,8,0.01,0.88,0.11,0.7
2,2021-01-03,10,0.03,0.87,0.1,0.76
3,2021-01-04,24,0.03,0.86,0.11,0.85
4,2021-01-05,20,0.04,0.86,0.1,0.63
5,2021-01-06,13,0.03,0.87,0.1,0.61
6,2021-01-07,22,0.04,0.87,0.1,0.73
7,2021-01-08,20,0.04,0.87,0.08,0.57
8,2021-01-09,17,0.04,0.88,0.08,0.35
9,2021-01-10,14,0.04,0.87,0.09,0.77
10,2021-01-11,34,0.04,0.85,0.09,0.53
11,2021-01-12,21,0.04,0.85,0.11,0.56
12,2021-01-13,29,0.04,0.88,0.09,0.51
13,2021-01-14,23,0.04,0.86,0.1,0.61
14,2021-01-15,16,0.04,0.8,0.1,0.55
15,2021-01-16,9,0.04,0.89,0.07,0.56
16,2021-01-17,5,0.06,0.87,0.07,-0.18
17,2021-01-18,13,0.05,0.85,0.1,0.4
18,2021-01-19,22,0.05,0.85,0.11,0.62
19,2021-01-20,23,0.04,0.86,0.1,0.72
20,2021-01-21,41,0.04,0.82,0.1,0.5
21,2021-01-22,21,0.03,0.83,0.14,0.57
22,2021-01-23,6,0.04,0.83,0.13,0.98
23,2021-01-24,6,0.05,0.84,0.11,0.63
24,2021-01-25,17,0.04,0.86,0.1,0.6
25,2021-01-26,19,0.05,0.81,0.09,0.39
26,2021-01-27,19,0.03,0.86,0.11,0.84
27,2021-01-28,17,0.04,0.86,0.1,0.84
28,2021-01-29,21,0.02,0.87,0.1,0.76
29,2021-01-30,6,0.05,0.86,0.09,0.73
30,2021-01-31,8,0.04,0.85,0.12,0.63
31,2021-02-01,10,0.03,0.85,0.12,0.98
32,2021-02-02,15,0.04,0.86,0.11,0.8
33,2021-02-03,18,0.02,0.88,0.09,0.8
34,2021-02-04,12,0.04,0.85,0.11,0.56
35,2021-02-05,24,0.03,0.86,0.11,0.88
36,2021-02-06,8,0.03,0.86,0.11,0.82
